problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,n_sv,sv_min,sv_p10,sv_median,sv_p90,sv_max,top_energy_frac,effective_rank,participation_rank,tiny_frac
cusp_abs,FastNS Muon,fastns_muon,0,61087,25,0,32x1,3.867,3.867,-4.4,1.399,1,0.9999972581863403,0.9999972581863403,0.9999972581863403,0.9999972581863403,0.9999972581863403,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,25,1,32x32,3.867,3.867,-4.4,1.399,32,4.761090827143377e-11,6.994442092178588e-09,1.593104954622504e-07,0.0009074792847968652,0.9361576437950134,0.8763923319866117,1.4568257723055305,1.2767078688881814,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,25,2,32x32,3.867,3.867,-4.4,1.399,32,1.9098039816256573e-10,1.3422473355007014e-08,1.140953145295498e-06,0.005259680363815288,0.9773465991020203,0.9552081530706887,1.2078128015740586,1.093710601719173,0.84375
cusp_abs,FastNS Muon,fastns_muon,0,61087,25,3,32x32,3.867,3.867,-4.4,1.399,32,8.757271019455004e-10,7.598075280057515e-09,9.620353864647768e-07,0.006670538394246264,0.9983052015304565,0.9966156173127028,1.024625697034153,1.006794912813603,0.875
cusp_abs,FastNS Muon,fastns_muon,0,61087,25,4,1x32,3.867,3.867,-4.4,1.399,1,0.9999988675117493,0.9999988675117493,0.9999988675117493,0.9999988675117493,0.9999988675117493,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,100,0,32x1,3.867,3.867,-4.4,1.399,1,0.9999947547912598,0.9999947547912598,0.9999947547912598,0.9999947547912598,0.9999947547912598,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,100,1,32x32,3.867,3.867,-4.4,1.399,32,9.558382974006463e-10,5.322399854179594e-09,1.470057853225626e-07,7.360781437455454e-05,0.9961751103401184,0.9923655901882827,1.045866304310424,1.0153854122243489,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,100,2,32x32,3.867,3.867,-4.4,1.399,32,1.268397054055015e-09,9.336942685678196e-09,8.173060734861792e-07,0.00027054217498516695,0.9970359802246094,0.9940816071190337,1.0369898460286193,1.011906932723177,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,100,3,32x32,3.867,3.867,-4.4,1.399,32,1.276520777970802e-09,7.248437583484702e-09,8.355065119758365e-07,0.00038407098618336053,0.9996692538261414,0.999340161573481,1.005537271593398,1.001320554033507,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,100,4,1x32,3.867,3.867,-4.4,1.399,1,0.9999989867210388,0.9999989867210388,0.9999989867210388,0.9999989867210388,0.9999989867210388,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,250,0,32x1,3.867,3.867,-4.4,1.399,1,0.9999914765357971,0.9999914765357971,0.9999914765357971,0.9999914765357971,0.9999914765357971,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,250,1,32x32,3.867,3.867,-4.4,1.399,32,4.8226481835778046e-11,6.68444326556994e-09,1.0846154196997304e-07,0.0007930891209980491,0.9877015352249146,0.9755562242536234,1.1224242246557825,1.0500861647086115,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,250,2,32x32,3.867,3.867,-4.4,1.399,32,1.5134330455524037e-09,1.1039250757960419e-08,1.1469025480437267e-06,0.0018320395727641915,0.989999532699585,0.9801026865211216,1.1065107032096062,1.0406212773985943,0.875
cusp_abs,FastNS Muon,fastns_muon,0,61087,250,3,32x32,3.867,3.867,-4.4,1.399,32,1.1075255157422248e-09,1.4050270902288276e-08,1.120179149438627e-06,0.0006343850283883517,0.9992320537567139,0.9984708039286859,1.0115883296064176,1.0030631097632603,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,250,4,1x32,3.867,3.867,-4.4,1.399,1,0.9999960660934448,0.9999960660934448,0.9999960660934448,0.9999960660934448,0.9999960660934448,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,499,0,32x1,3.867,3.867,-4.4,1.399,1,0.9999890327453613,0.9999890327453613,0.9999890327453613,0.9999890327453613,0.9999890327453613,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,499,1,32x32,3.867,3.867,-4.4,1.399,32,1.168603547263558e-09,8.155325215142284e-09,2.4626187666854094e-07,0.0012364482332486676,0.9938740134239197,0.9877887849087161,1.068519050760766,1.024721878481559,0.875
cusp_abs,FastNS Muon,fastns_muon,0,61087,499,2,32x32,3.867,3.867,-4.4,1.399,32,3.6902778610681253e-09,4.240278599354497e-08,1.8695895960263442e-06,0.005782317789271478,0.9909552931785583,0.9819989928180256,1.098104564449442,1.0366785313103777,0.84375
cusp_abs,FastNS Muon,fastns_muon,0,61087,499,3,32x32,3.867,3.867,-4.4,1.399,32,4.958406574218088e-09,3.0317388066691825e-08,1.7593433199181163e-06,0.0021816562453750555,0.9972159266471863,0.9944470615081551,1.0360472297329728,1.0111702044509028,0.875
