problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,sv_index,singular_value
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,13,5.03074534208281e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,14,2.1105709038238274e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,15,1.3026605074628606e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,16,8.484553859489097e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,17,6.906832936692808e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,18,4.399880140226742e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,19,2.449880014410155e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,20,1.5600851099861757e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,21,6.90832280270115e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,22,6.182578005109463e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,23,4.338626524713618e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,24,3.680824889329415e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,25,2.9670843559870264e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,26,2.7009185998849716e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,27,2.114981256795545e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,28,1.1738220173640457e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,29,8.68003358078795e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,30,5.257084545462476e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,31,2.6629873861594433e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,0,0.9972009062767029
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,1,0.06278344988822937
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,2,0.04006516560912132
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,3,0.006251766346395016
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,4,0.0009042152087204158
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,5,0.0002273114223498851
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,6,0.00014139348058961332
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,7,5.176341801416129e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,8,2.627096364449244e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,9,2.3894564947113395e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,10,9.985123142541852e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,11,7.230785286083119e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,12,4.403526418172987e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,13,1.6315170796588063e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,14,1.350793013443763e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,15,7.576118150609545e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,16,4.2101299868591013e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,17,2.785924095860537e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,18,1.879591167153194e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,19,1.0415246975981063e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,20,8.516993688090224e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,21,5.776279010660801e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,22,4.719161950106354e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,23,3.915348756322601e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,24,2.7957062442851566e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,25,2.4788507246853442e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,26,1.7849540512315798e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,27,1.3719096081388216e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,28,1.1427935042718218e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,29,6.788238859911644e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,30,3.1772764419457644e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,31,4.792205521297888e-10
low_frequency,Jordan Muon,jordan_muon,0,987,25,4,1x32,3.445,3.445,-4.775,2.032,0,0.9999988079071045
low_frequency,Jordan Muon,jordan_muon,0,987,100,0,32x1,3.445,3.445,-4.775,2.032,0,0.9999991059303284
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,0,0.8912478685379028
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,1,0.4469362199306488
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,2,0.07693468034267426
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,3,0.0021425022277981043
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,4,0.000934414507355541
